topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
,5,0.5,1139.9126212636256
,5,1.0,1181.7486459560848
,5,2.5,1343.0279143872715
,5,3.5,1438.123625575908
,5,5.0,1542.176389024887
,5,6.5,1617.4131274141905
,5,8.5,1687.0996198608077
,5,10.0,1694.7974801847895
,7,0.5,1198.3328586566952
,7,1.0,1258.4271617325496
,7,2.5,1446.829184682461
,7,3.5,1531.8878458260967
,7,5.0,1598.3298673485592
,7,6.5,1658.9298071509406
,7,8.5,1684.585619689506
,7,10.0,1644.3394837911885
,10,0.5,1288.8614915070495
,10,1.0,1360.099974066147
,10,2.5,1503.9928985886283
,10,3.5,1528.032335196436
,10,5.0,1580.299360844617
,10,6.5,1633.4143699838803
,10,8.5,1594.643959219678
,10,10.0,1613.3851476926268
,12,0.5,1337.61662895569
,12,1.0,1409.5188125588809
,12,2.5,1537.6727325592296
,12,3.5,1580.716143315607
,12,5.0,1576.1291846508557
,12,6.5,1612.5245493133712
,12,8.5,1644.7939976931084
,12,10.0,1664.676628313809
,15,0.5,1389.1446835394777
,15,1.0,1452.3497063027658
,15,2.5,1549.4854446474335
,15,3.5,1573.882440737735
,15,5.0,1612.48601862529
,15,6.5,1649.623550465493
,15,8.5,1638.1877439533405
,15,10.0,1603.64910592633
,17,0.5,1442.9049392981435
,17,1.0,1500.3584160267642
,17,2.5,1573.5129141175053
,17,3.5,1592.9414393071377
,17,5.0,1621.9989856517514
,17,6.5,1637.1287213510454
,17,8.5,1614.2311279667767
,17,10.0,1601.318274149452
,20,0.5,1487.500134618175
,20,1.0,1521.0872776647852
,20,2.5,1559.4837991781485
,20,3.5,1581.2488873461443
,20,5.0,1610.8543692555402
,20,6.5,1628.0659636469304
,20,8.5,1620.8218670443214
,20,10.0,1620.869247867416
,22,0.5,1520.8450328626827
,22,1.0,1526.3053489499532
,22,2.5,1586.2858334024254
,22,3.5,1591.1070448357627
,22,5.0,1642.6067621924549
,22,6.5,1648.4980079615111
,22,8.5,1653.4025151493302
,22,10.0,1615.927097588638
,25,0.5,1570.5106683313998
,25,1.0,1564.6950367352235
,25,2.5,1580.1772658378484
,25,3.5,1605.7824351933564
,25,5.0,1655.4316600961652
,25,6.5,1670.669610612893
,25,8.5,1664.4809891665675
,25,10.0,1633.6270236848954
,27,0.5,1577.4728263583634
,27,1.0,1565.083935088236
,27,2.5,1580.9395251387973
,27,3.5,1599.558170486019
,27,5.0,1629.826497530723
,27,6.5,1640.25487200889
,27,8.5,1652.052264428066
,27,10.0,1613.469163273989
,30,0.5,1611.8164010939574
,30,1.0,1599.1549209485695
,30,2.5,1593.612891486254
,30,3.5,1592.872774566385
,30,5.0,1625.2234172032772
,30,6.5,1636.350746347211
,30,8.5,1635.51821744353
,30,10.0,1638.0880780995972
,32,0.5,1648.3571016746744
,32,1.0,1608.8289346363704
,32,2.5,1616.794118807018
,32,3.5,1619.635782922906
,32,5.0,1630.124891217704
,32,6.5,1642.481475709316
,32,8.5,1600.9652017720107
,32,10.0,1594.477917187573
,35,0.5,1674.0679336588423
,35,1.0,1626.4939755323066
,35,2.5,1619.4977273670718
,35,3.5,1606.0302104628731
,35,5.0,1630.182922653169
,35,6.5,1639.154221111674
,35,8.5,1641.3968659885038
,35,10.0,1603.113371095001
,37,0.5,1705.7634534817312
,37,1.0,1626.4573372751624
,37,2.5,1613.4477286754234
,37,3.5,1642.6469173874252
,37,5.0,1659.417814248048
,37,6.5,1650.8021094049525
,37,8.5,1639.171994551126
,37,10.0,1650.0807336832793
,40,0.5,1713.5301241154132
,40,1.0,1654.8619785298984
,40,2.5,1644.798615316628
,40,3.5,1667.290960066386
,40,5.0,1656.780163036747
,40,6.5,1624.9722377206804
,40,8.5,1634.2641764220114
,40,10.0,1648.6535808722583
,42,0.5,1732.8992825238474
,42,1.0,1640.6026676277688
,42,2.5,1618.7198606783477
,42,3.5,1643.524929856032
,42,5.0,1658.599773455054
,42,6.5,1635.4615421134426
,42,8.5,1641.1962124865993
,42,10.0,1664.7465251832723
,45,0.5,1730.2661032296105
,45,1.0,1652.5099271129973
,45,2.5,1592.9878980955414
,45,3.5,1621.524184573135
,45,5.0,1656.4051434608627
,45,6.5,1654.848262164613
,45,8.5,1616.760070207464
,45,10.0,1614.8813608574658
,47,0.5,1744.5695310471335
,47,1.0,1639.630288900471
,47,2.5,1630.6227300290132
,47,3.5,1653.261380511849
,47,5.0,1647.9783857625157
,47,6.5,1641.485014428501
,47,8.5,1643.7581850404872
,47,10.0,1659.7744528038224
,50,0.5,1783.2146515669258
,50,1.0,1648.4028913450552
,50,2.5,1634.045878373215
,50,3.5,1648.2257603426349
,50,5.0,1646.8097309801706
,50,6.5,1654.5253896220777
,50,8.5,1640.86488211682
,50,10.0,1663.8480047794878
0.001,5,0.5,1173.3185827416237
0.001,5,1.0,1208.0697020508455
0.001,5,2.5,1363.918968653667
0.001,5,3.5,1455.542298982698
0.001,5,5.0,1552.025675853548
0.001,5,6.5,1622.1193017941505
0.001,5,8.5,1686.643281204028
0.001,5,10.0,1685.0376321747112
0.001,7,0.5,1240.5380142945708
0.001,7,1.0,1292.0189218863063
0.001,7,2.5,1467.8347832781749
0.001,7,3.5,1547.0612741092093
0.001,7,5.0,1604.7687807851044
0.001,7,6.5,1660.581154703239
0.001,7,8.5,1670.254106000209
0.001,7,10.0,1629.5776067851168
0.001,10,0.5,1339.3265883997628
0.001,10,1.0,1398.5165750880046
0.001,10,2.5,1523.0008868365471
0.001,10,3.5,1538.052175016001
0.001,10,5.0,1582.8369805328623
0.001,10,6.5,1627.2597396760498
0.001,10,8.5,1580.980001142771
0.001,10,10.0,1593.2639274234589
0.001,12,0.5,1392.2121927738808
0.001,12,1.0,1447.6352555901017
0.001,12,2.5,1552.7041649227335
0.001,12,3.5,1589.62498567167
0.001,12,5.0,1574.7958786124325
0.001,12,6.5,1604.171450218983
0.001,12,8.5,1632.4390302479894
0.001,12,10.0,1648.2040257606336
0.001,15,0.5,1443.421675993832
0.001,15,1.0,1487.5178153761435
0.001,15,2.5,1559.342275431855
0.001,15,3.5,1579.2605117715816
0.001,15,5.0,1608.666500101072
0.001,15,6.5,1639.9515209815806
0.001,15,8.5,1625.9223098509397
0.001,15,10.0,1583.0835544100537
0.001,17,0.5,1501.6535414238158
0.001,17,1.0,1539.0684528158788
0.001,17,2.5,1585.573616223245
0.001,17,3.5,1598.4552501630774
0.001,17,5.0,1619.226223608986
0.001,17,6.5,1629.3212391029865
0.001,17,8.5,1592.9783923076798
0.001,17,10.0,1579.495938953422
0.001,20,0.5,1546.335975334453
0.001,20,1.0,1557.6150252376565
0.001,20,2.5,1569.563044595869
0.001,20,3.5,1585.0987996607023
0.001,20,5.0,1607.0813040806008
0.001,20,6.5,1616.884193018706
0.001,20,8.5,1601.7907114499849
0.001,20,10.0,1599.075082051819
0.001,22,0.5,1580.925632473629
0.001,22,1.0,1561.5113526943526
0.001,22,2.5,1597.674080366534
0.001,22,3.5,1592.6628000376847
0.001,22,5.0,1638.74363332908
0.001,22,6.5,1637.3716842452811
0.001,22,8.5,1634.5136204555024
0.001,22,10.0,1591.191808099757
0.001,25,0.5,1629.589220680839
0.001,25,1.0,1600.8361222043843
0.001,25,2.5,1588.4995271992732
0.001,25,3.5,1607.439008067672
0.001,25,5.0,1649.8382584635867
0.001,25,6.5,1660.957662949871
0.001,25,8.5,1647.6204540685958
0.001,25,10.0,1605.921803245595
0.001,27,0.5,1635.47119064771
0.001,27,1.0,1599.8860521187028
0.001,27,2.5,1585.5139838601613
0.001,27,3.5,1601.3128019853243
0.001,27,5.0,1621.9279692083128
0.001,27,6.5,1627.3328716923943
0.001,27,8.5,1631.651977889827
0.001,27,10.0,1585.8536417629002
0.001,30,0.5,1671.4954547087807
0.001,30,1.0,1636.997439805886
0.001,30,2.5,1601.7491443961428
0.001,30,3.5,1592.0252586611537
0.001,30,5.0,1616.2944686823234
0.001,30,6.5,1621.08039127765
0.001,30,8.5,1614.937805696154
0.001,30,10.0,1613.733743104607
0.001,32,0.5,1709.1867422591697
0.001,32,1.0,1642.747621133113
0.001,32,2.5,1622.9703959487028
0.001,32,3.5,1618.9494496836537
0.001,32,5.0,1619.8799644554165
0.001,32,6.5,1630.147803996001
0.001,32,8.5,1579.0728062544044
0.001,32,10.0,1568.728138061859
0.001,35,0.5,1735.1024442661546
0.001,35,1.0,1656.5417290661971
0.001,35,2.5,1618.5641941037736
0.001,35,3.5,1604.7896810530551
0.001,35,5.0,1619.8782542082536
0.001,35,6.5,1622.443189052084
0.001,35,8.5,1611.5733903115113
0.001,35,10.0,1578.817423526218
0.001,37,0.5,1764.401809996895
0.001,37,1.0,1653.913152021967
0.001,37,2.5,1616.2874747243927
0.001,37,3.5,1642.1721766439173
0.001,37,5.0,1650.5687755698964
0.001,37,6.5,1636.7381975885817
0.001,37,8.5,1617.6221135815883
0.001,37,10.0,1625.868827784633
0.001,40,0.5,1774.7680292386017
0.001,40,1.0,1686.1743088289145
0.001,40,2.5,1652.221339233573
0.001,40,3.5,1666.5542942686711
0.001,40,5.0,1647.8775849196925
0.001,40,6.5,1609.150330135315
0.001,40,8.5,1616.4290354175278
0.001,40,10.0,1627.084121252476
0.001,42,0.5,1790.4865915748414
0.001,42,1.0,1670.2227987674062
0.001,42,2.5,1623.2415799230353
0.001,42,3.5,1642.5442921749138
0.001,42,5.0,1648.2871752724695
0.001,42,6.5,1622.9171459513182
0.001,42,8.5,1622.4492234234365
0.001,42,10.0,1651.0288613475518
0.001,45,0.5,1783.8637943029
0.001,45,1.0,1682.0283612426713
0.001,45,2.5,1594.7011751833916
0.001,45,3.5,1617.0371088651875
0.001,45,5.0,1646.4730457257217
0.001,45,6.5,1637.8041813398313
0.001,45,8.5,1599.922582687671
0.001,45,10.0,1597.4695049047257
0.001,47,0.5,1799.2760890607
0.001,47,1.0,1666.561991351371
0.001,47,2.5,1633.1420546611166
0.001,47,3.5,1650.9829232386214
0.001,47,5.0,1641.2908393637615
0.001,47,6.5,1628.0954353331929
0.001,47,8.5,1627.8415952626551
0.001,47,10.0,1644.4577488836949
0.001,50,0.5,1840.2780699106856
0.001,50,1.0,1672.577559740082
0.001,50,2.5,1639.4153762180838
0.001,50,3.5,1646.8086142992906
0.001,50,5.0,1639.882242185609
0.001,50,6.5,1642.161992406033
0.001,50,8.5,1620.177698232201
0.001,50,10.0,1645.0305730591724
0.005,5,0.5,1158.3840162981228
0.005,5,1.0,1194.571964731785
0.005,5,2.5,1350.9213971388556
0.005,5,3.5,1442.7419067250432
0.005,5,5.0,1540.4920351319051
0.005,5,6.5,1611.448243040058
0.005,5,8.5,1676.979036346931
0.005,5,10.0,1677.0277676815615
0.005,7,0.5,1220.8157227535412
0.005,7,1.0,1274.3286679601522
0.005,7,2.5,1451.7253871480248
0.005,7,3.5,1532.3682512563205
0.005,7,5.0,1592.2230886861014
0.005,7,6.5,1649.534674250964
0.005,7,8.5,1662.0084274208152
0.005,7,10.0,1623.4856730619954
0.005,10,0.5,1313.7993810232233
0.005,10,1.0,1376.267348041002
0.005,10,2.5,1506.0049020100682
0.005,10,3.5,1524.1304679273749
0.005,10,5.0,1571.3065227574275
0.005,10,6.5,1617.533062065133
0.005,10,8.5,1574.7123785802771
0.005,10,10.0,1588.3764150012996
0.005,12,0.5,1363.6384301474586
0.005,12,1.0,1423.8436280683395
0.005,12,2.5,1536.1056090187303
0.005,12,3.5,1575.3777449525471
0.005,12,5.0,1564.0298660420929
0.005,12,6.5,1595.2713171734997
0.005,12,8.5,1625.3175240551657
0.005,12,10.0,1642.186946857355
0.005,15,0.5,1412.6078972286307
0.005,15,1.0,1463.0888208374004
0.005,15,2.5,1542.9495388510088
0.005,15,3.5,1565.5013459754305
0.005,15,5.0,1597.6907372776575
0.005,15,6.5,1630.933508537465
0.005,15,8.5,1619.340274771751
0.005,15,10.0,1579.012052460361
0.005,17,0.5,1467.743600290047
0.005,17,1.0,1512.6269540308515
0.005,17,2.5,1568.3889499569746
0.005,17,3.5,1584.6137149203291
0.005,17,5.0,1608.026054996383
0.005,17,6.5,1620.3734180172094
0.005,17,8.5,1587.721796593629
0.005,17,10.0,1575.9284440636904
0.005,20,0.5,1510.8875627119337
0.005,20,1.0,1531.1305466999827
0.005,20,2.5,1553.2030815175835
0.005,20,3.5,1571.9234085527553
0.005,20,5.0,1596.765226564664
0.005,20,6.5,1609.0207853209834
0.005,20,8.5,1597.0525527267905
0.005,20,10.0,1595.611433977629
0.005,22,0.5,1544.4435173977708
0.005,22,1.0,1534.915170092544
0.005,22,2.5,1581.0674041286966
0.005,22,3.5,1579.8498876025792
0.005,22,5.0,1628.2313727267288
0.005,22,6.5,1629.6079053572746
0.005,22,8.5,1629.4691797854273
0.005,22,10.0,1588.493849595659
0.005,25,0.5,1591.082958883315
0.005,25,1.0,1573.3233653978411
0.005,25,2.5,1571.8144321818606
0.005,25,3.5,1594.3851260358138
0.005,25,5.0,1639.491683735267
0.005,25,6.5,1653.0796729390422
0.005,25,8.5,1643.0368826120412
0.005,25,10.0,1604.7338543948106
0.005,27,0.5,1597.5440978419551
0.005,27,1.0,1572.7805234337848
0.005,27,2.5,1571.7479525558276
0.005,27,3.5,1588.78971742966
0.005,27,5.0,1612.8010994928682
0.005,27,6.5,1620.501744825949
0.005,27,8.5,1627.684921234088
0.005,27,10.0,1584.6033080805282
0.005,30,0.5,1631.725217183906
0.005,30,1.0,1609.2613326763935
0.005,30,2.5,1586.6374245858417
0.005,30,3.5,1580.0757765552223
0.005,30,5.0,1607.9520355915145
0.005,30,6.5,1615.3350932961264
0.005,30,8.5,1611.4138122326551
0.005,30,10.0,1611.9172481541252
0.005,32,0.5,1668.3400732899142
0.005,32,1.0,1614.2794652931373
0.005,32,2.5,1607.5955242677471
0.005,32,3.5,1606.9330340773297
0.005,32,5.0,1611.9744251504967
0.005,32,6.5,1624.114968156351
0.005,32,8.5,1577.2403044339796
0.005,32,10.0,1568.2402207825996
0.005,35,0.5,1693.4712287601149
0.005,35,1.0,1629.280925719652
0.005,35,2.5,1603.6257966996377
0.005,35,3.5,1593.355945120951
0.005,35,5.0,1612.0971692835956
0.005,35,6.5,1617.660602948541
0.005,35,8.5,1610.6527259447869
0.005,35,10.0,1578.3831000459895
0.005,37,0.5,1722.0191856549616
0.005,37,1.0,1626.8873322062882
0.005,37,2.5,1601.5096510698556
0.005,37,3.5,1630.2382867019912
0.005,37,5.0,1642.3894387919545
0.005,37,6.5,1631.4130152712034
0.005,37,8.5,1615.5577842109742
0.005,37,10.0,1624.8675900714084
0.005,40,0.5,1731.4258315825305
0.005,40,1.0,1658.3873887645052
0.005,40,2.5,1636.4369117614033
0.005,40,3.5,1654.2035784638351
0.005,40,5.0,1639.9897060515775
0.005,40,6.5,1604.113947553909
0.005,40,8.5,1611.4866171522713
0.005,40,10.0,1623.8141156101226
0.005,42,0.5,1747.4117542686713
0.005,42,1.0,1643.3093710651156
0.005,42,2.5,1609.042938052314
0.005,42,3.5,1631.4357040755626
0.005,42,5.0,1640.7565184524435
0.005,42,6.5,1615.6499946212843
0.005,42,8.5,1618.0798715751305
0.005,42,10.0,1640.88676584597
0.005,45,0.5,1742.0441319629924
0.005,45,1.0,1655.0832726163146
0.005,45,2.5,1581.0893610341473
0.005,45,3.5,1606.471169140304
0.005,45,5.0,1636.5727610510228
0.005,45,6.5,1631.696228129803
0.005,45,8.5,1596.6564069650326
0.005,45,10.0,1592.5531722214205
0.005,47,0.5,1757.6279817287966
0.005,47,1.0,1640.685664830069
0.005,47,2.5,1619.3061453149012
0.005,47,3.5,1640.3128322569178
0.005,47,5.0,1631.5463992872758
0.005,47,6.5,1622.4031225814483
0.005,47,8.5,1621.718805660598
0.005,47,10.0,1637.2078068403332
0.005,50,0.5,1796.309921833453
0.005,50,1.0,1647.3233307821863
0.005,50,2.5,1624.8347209629735
0.005,50,3.5,1633.658896389142
0.005,50,5.0,1631.266789841142
0.005,50,6.5,1636.5421762612934
0.005,50,8.5,1618.1531983441805
0.005,50,10.0,1641.1589792092605
0.01,5,0.5,1152.4057215658206
